                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200613"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                            model_number                                 star_age                                star_mass                               luminosity                                   radius                           surf_avg_omega                              num_retries                              num_backups 
                                      21                  2.2502559954684833E-003                  2.0000000000000000E-002                  2.1778598298527682E-001                  5.9061374631869556E+000                  0.0000000000000000E+000                                        0                                        0 
                                      22                  2.7103071945621809E-003                  2.0000000000000000E-002                  2.1778197462442789E-001                  5.9061350316448866E+000                  0.0000000000000000E+000                                        0                                        0 
                                      23                  3.2623686334746172E-003                  2.0000000000000000E-002                  2.1778014412485819E-001                  5.9061324955335710E+000                  0.0000000000000000E+000                                        0                                        0 
                                      24                  3.9248423601695413E-003                  2.0000000000000000E-002                  2.1777901538092234E-001                  5.9061300739901466E+000                  0.0000000000000000E+000                                        0                                        0 
                                      25                  4.7198108322034490E-003                  2.0000000000000000E-002                  2.1777823651957981E-001                  5.9061278729345883E+000                  0.0000000000000000E+000                                        0                                        0 
                                      26                  5.6737729986441393E-003                  2.0000000000000000E-002                  2.1777761148207758E-001                  5.9061258438044311E+000                  0.0000000000000000E+000                                        0                                        0 
                                      27                  6.8185275983729671E-003                  2.0000000000000000E-002                  2.1777713054382927E-001                  5.9061237293546567E+000                  0.0000000000000000E+000                                        0                                        0 
                                      28                  8.1922331180475615E-003                  2.0000000000000000E-002                  2.1777666651134819E-001                  5.9061207972147507E+000                  0.0000000000000000E+000                                        0                                        0 
                                      29                  9.8406797416570723E-003                  2.0000000000000000E-002                  2.1777620932130670E-001                  5.9061158176594120E+000                  0.0000000000000000E+000                                        0                                        0 
                                      30                  1.1818815689988486E-002                  2.0000000000000000E-002                  2.1777564903514857E-001                  5.9061073646357620E+000                  0.0000000000000000E+000                                        0                                        0 
                                      31                  1.4192578827986186E-002                  2.0000000000000000E-002                  2.1777505497798974E-001                  5.9060948397170572E+000                  0.0000000000000000E+000                                        0                                        0 
                                      32                  1.7041094593583422E-002                  2.0000000000000000E-002                  2.1777449149818123E-001                  5.9060792378827216E+000                  0.0000000000000000E+000                                        0                                        0 
                                      33                  2.0459313512300105E-002                  2.0000000000000000E-002                  2.1777386607829599E-001                  5.9060628869773799E+000                  0.0000000000000000E+000                                        0                                        0 
                                      34                  2.4561176214760127E-002                  2.0000000000000000E-002                  2.1777331829445701E-001                  5.9060482927466218E+000                  0.0000000000000000E+000                                        0                                        0 
                                      35                  2.9483411457712150E-002                  2.0000000000000000E-002                  2.1777279283094156E-001                  5.9060356795563358E+000                  0.0000000000000000E+000                                        0                                        0 
                                      36                  3.5390093749254579E-002                  2.0000000000000000E-002                  2.1777213572220874E-001                  5.9060219037920438E+000                  0.0000000000000000E+000                                        0                                        0 
                                      37                  4.2478112499105498E-002                  2.0000000000000000E-002                  2.1777123399505210E-001                  5.9060028877473885E+000                  0.0000000000000000E+000                                        0                                        0 
                                      38                  5.0983734998926590E-002                  2.0000000000000000E-002                  2.1777007098472365E-001                  5.9059771889653705E+000                  0.0000000000000000E+000                                        0                                        0 
                                      39                  6.1190481998711910E-002                  2.0000000000000000E-002                  2.1776864759159717E-001                  5.9059457724642010E+000                  0.0000000000000000E+000                                        0                                        0 
                                      40                  7.3438578398454288E-002                  2.0000000000000000E-002                  2.1776695091686535E-001                  5.9059088570444507E+000                  0.0000000000000000E+000                                        0                                        0 
                                      41                  8.8136294078145147E-002                  2.0000000000000000E-002                  2.1776491902402131E-001                  5.9058649811080333E+000                  0.0000000000000000E+000                                        0                                        0 
                                      42                  1.0577355289377417E-001                  2.0000000000000000E-002                  2.1776242808640395E-001                  5.9058122487874121E+000                  0.0000000000000000E+000                                        0                                        0 
                                      43                  1.2693826347252901E-001                  2.0000000000000000E-002                  2.1775945952968931E-001                  5.9057489704443729E+000                  0.0000000000000000E+000                                        0                                        0 
                                      44                  1.5233591616703479E-001                  2.0000000000000000E-002                  2.1775588264501131E-001                  5.9056730315778987E+000                  0.0000000000000000E+000                                        0                                        0 
                                      45                  1.8281309940044177E-001                  2.0000000000000000E-002                  2.1775160707048941E-001                  5.9055819674443786E+000                  0.0000000000000000E+000                                        0                                        0 
                                      46                  2.1938571928053011E-001                  2.0000000000000000E-002                  2.1774641620156077E-001                  5.9054726642332795E+000                  0.0000000000000000E+000                                        0                                        0 
                                      47                  2.6327286313663611E-001                  2.0000000000000000E-002                  2.1774023158890382E-001                  5.9053416019765725E+000                  0.0000000000000000E+000                                        0                                        0 
                                      48                  3.1593743576396338E-001                  2.0000000000000000E-002                  2.1773280675236203E-001                  5.9051843599523872E+000                  0.0000000000000000E+000                                        0                                        0 
                                      49                  3.7913492291675605E-001                  2.0000000000000000E-002                  2.1772384084891080E-001                  5.9049956664279559E+000                  0.0000000000000000E+000                                        0                                        0 
                                      50                  4.5497190750010724E-001                  2.0000000000000000E-002                  2.1771315243341111E-001                  5.9047694358866858E+000                  0.0000000000000000E+000                                        0                                        0 
                                      51                  5.4597628900012862E-001                  2.0000000000000000E-002                  2.1770030138546323E-001                  5.9044979661500232E+000                  0.0000000000000000E+000                                        0                                        0 
                                      52                  6.5518154680015439E-001                  2.0000000000000000E-002                  2.1768492322945290E-001                  5.9041724915745419E+000                  0.0000000000000000E+000                                        0                                        0 
                                      53                  7.8622785616018520E-001                  2.0000000000000000E-002                  2.1766614088330907E-001                  5.9037812122125333E+000                  0.0000000000000000E+000                                        0                                        0 
                                      54                  9.4348342739222213E-001                  2.0000000000000000E-002                  2.1764358273572912E-001                  5.9033119431660355E+000                  0.0000000000000000E+000                                        0                                        0 
                                      55                  1.1321901128706664E+000                  2.0000000000000000E-002                  2.1761728137588782E-001                  5.9027503583212200E+000                  0.0000000000000000E+000                                        0                                        0 
                                      56                  1.3586381354447998E+000                  2.0000000000000000E-002                  2.1758526360788810E-001                  5.9020763096843272E+000                  0.0000000000000000E+000                                        0                                        0 
                                      57                  1.6303757625337596E+000                  2.0000000000000000E-002                  2.1754728646733582E-001                  5.9012688367227257E+000                  0.0000000000000000E+000                                        0                                        0 
                                      58                  1.9564609150405115E+000                  2.0000000000000000E-002                  2.1750150572797400E-001                  5.9003005466216187E+000                  0.0000000000000000E+000                                        0                                        0 
                                      59                  2.3477630980486137E+000                  2.0000000000000000E-002                  2.1744679010856083E-001                  5.8991401490208899E+000                  0.0000000000000000E+000                                        0                                        0 
                                      60                  2.8173257176583366E+000                  2.0000000000000000E-002                  2.1738078435994151E-001                  5.8977488391256703E+000                  0.0000000000000000E+000                                        0                                        0 
                                      61                  3.3808008611900036E+000                  2.0000000000000000E-002                  2.1730215638420244E-001                  5.8960825063130331E+000                  0.0000000000000000E+000                                        0                                        0 
                                      62                  4.0569710334280042E+000                  2.0000000000000000E-002                  2.1720795258317940E-001                  5.8940871591464434E+000                  0.0000000000000000E+000                                        0                                        0 
