                           1                            2                            3                            4                            5                            6                            7 
              version_number                     compiler                        build             MESA_SDK_version                         date                    burn_min1                    burn_min2 
                       11701                   "gfortran"                      "8.3.0"      "x86_64-linux-20190503"                   "20190703"      5.0000000000000000E+001      1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23 
                            model_number                                 star_age                                star_mass                                time_step                                   log_dt                                    log_L                               luminosity                        luminosity_ergs_s                                 log_Teff                              effective_T                                    log_R                                   radius                                    log_g                           surf_avg_j_rot                           surf_avg_omega                      surf_avg_omega_crit            surf_avg_omega_div_omega_crit                           surf_avg_v_rot                          surf_avg_v_crit                    surf_avg_v_div_v_crit                   surf_avg_Lrad_div_Ledd                              num_retries                              num_backups 
                                    6101                  1.2516453559556503E+010                  5.1141591866245317E-001                  9.4830674439838276E+002                  2.9769488392912735E+000                  3.0173611078773241E+000                  1.0407851999084444E+003                  3.9984885810082615E+036                  3.6412402895889295E+000                  4.3776424753086103E+003                  1.7494588112134293E+000                  5.6164100941105424E+001                  6.4774597301773762E-001                  7.2604273220698776E+010                  7.3374659566526112E-015                  1.0855524624044042E-006                  6.7595359512433674E-009                  2.8267990062755294E-007                  4.1820116203047029E+001                  6.7595359512433674E-009                  7.6385524517122542E-003                                        5                                        0 
                                    6102                  1.2516454128540552E+010                  5.1136548737990617E-001                  5.6898404663902966E+002                  2.7551000896749174E+000                  3.0173462332523897E+000                  1.0407495535325027E+003                  3.9983516347611687E+036                  3.6448530428856212E+000                  4.4142105346604230E+003                  1.7422258673075781E+000                  5.5236463767156046E+001                  6.6216903246432912E-001                  6.4888288049100136E+010                  6.7741504922418920E-015                  1.1121261628085687E-006                  6.0914536633514135E-009                  2.5677438370758560E-007                  4.2153870814672807E+001                  6.0914536633514135E-009                  7.8791683075511380E-003                                        6                                        0 
                                    6103                  1.2516454811321407E+010                  5.1130595872808815E-001                  6.8278085596683559E+002                  2.8342813357225420E+000                  3.0173192223954901E+000                  1.0406848263387383E+003                  3.9981029658281646E+036                  3.6497580792522757E+000                  4.4643483942419716E+003                  1.7324022891458200E+000                  5.4001060542963387E+001                  6.8176562911860428E-001                  5.5578598961187050E+010                  6.0639688830380398E-015                  1.1492946988245747E-006                  5.2764736296690619E-009                  2.2484013006844422E-007                  4.2612411962494562E+001                  5.2764736296690619E-009                  8.1826167476259405E-003                                        6                                        0 
                                    6104                  1.2516455220989922E+010                  5.1127103581092559E-001                  4.0966851358010132E+002                  2.6124325861061855E+000                  3.0173025352403329E+000                  1.0406448402549597E+003                  3.9979493472915040E+036                  3.6529291288351344E+000                  4.4970646270708285E+003                  1.7260518464025243E+000                  5.3217178654366236E+001                  6.9443685066731564E-001                  5.0474780702428940E+010                  5.6663270848675712E-015                  1.1739175543009483E-006                  4.8270405854181290E-009                  2.0712373963820698E-007                  4.2909608847014674E+001                  4.8270405854181290E-009                  8.4623303410137508E-003                                        7                                        0 
                                    6105                  1.2516455712592138E+010                  5.1122973376809200E-001                  4.9160221629612153E+002                  2.6916138321538106E+000                  3.0172755117175405E+000                  1.0405800892258267E+003                  3.9977005867877804E+036                  3.6573075319992534E+000                  4.5426317498823373E+003                  1.7172815283128893E+000                  5.2153268140584366E+001                  7.1194240178877977E-001                  4.4373112659226357E+010                  5.1817842872630506E-015                  1.2089240020837864E-006                  4.2864283503915794E-009                  1.8571279211102953E-007                  4.3326272130093720E+001                  4.2864283503915794E-009                  8.7764966503276962E-003                                        7                                        0 
                                    6106                  1.2516456302514797E+010                  5.1118116118082013E-001                  5.8992265955534583E+002                  2.7707950782014352E+000                  3.0172330588385021E+000                  1.0404783760716084E+003                  3.9973098251919051E+036                  3.6631006781481226E+000                  4.6036328262981906E+003                  1.7056740095756322E+000                  5.0777815068902555E+001                  7.3511617443181754E-001                  3.7358034957702194E+010                  4.5961424488410917E-015                  1.2568929431303125E-006                  3.6568607344432022E-009                  1.6048387478738080E-007                  4.3886139976306545E+001                  3.6568607344432022E-009                  9.0773217270404723E-003                                        7                                        0 
                                    6107                  1.2516456656468391E+010                  5.1115278814449228E-001                  3.5395359573320746E+002                  2.5489463285850786E+000                  3.0172069863315842E+000                  1.0404159136952599E+003                  3.9970698572344492E+036                  3.6671463074751482E+000                  4.6467179000457727E+003                  1.6975697146681226E+000                  4.9839045315659043E+001                  7.5130065812549895E-001                  3.3913058585526886E+010                  4.3276125195040523E-015                  1.2914476482171740E-006                  3.3510716134052623E-009                  1.4837152665271020E-007                  4.4276257028520668E+001                  3.3510716134052623E-009                  9.5905887751179583E-003                                        8                                        0 
                                    6108                  1.2516457081212706E+010                  5.1111937163946108E-001                  4.2474431487984890E+002                  2.6281275746327037E+000                  3.0171637101591133E+000                  1.0403122444635346E+003                  3.9966715807800072E+036                  3.6720830052786924E+000                  4.6998392650672567E+003                  1.6876746809747978E+000                  4.8716343157257590E+001                  7.7106233267447655E-001                  2.9252441789367207E+010                  3.9028080801053811E-015                  1.3349844122462635E-006                  2.9235578794086633E-009                  1.3086179650523273E-007                  4.4761511438036173E+001                  2.9235578794086633E-009                  9.9802297637463736E-003                                        8                                        0 
                                    6109                  1.2516457590905884E+010                  5.1108018165113323E-001                  5.0969317785581870E+002                  2.7073088206803284E+000                  3.0171074123538211E+000                  1.0401773970207678E+003                  3.9961535238743851E+036                  3.6787316243261983E+000                  4.7723427186469826E+003                  1.6743492939771407E+000                  4.7244286442528640E+001                  7.9767980593975163E-001                  2.4347823393112324E+010                  3.4494585061714810E-015                  1.3959254171231989E-006                  2.4711427433806822E-009                  1.1224037165840768E-007                  4.5420749961103205E+001                  2.4711427433806822E-009                  1.0676828199514647E-002                                        8                                        0 
                                    6110                  1.2516458202537699E+010                  5.1103458573738214E-001                  6.1163181342698238E+002                  2.7864900667279531E+000                  3.0170353040825613E+000                  1.0400047050557621E+003                  3.9954900758832266E+036                  3.6875153236502274E+000                  4.8698470763533278E+003                  1.6567458411934517E+000                  4.5367603762164038E+001                  8.3284796428541963E-001                  1.9853253195240536E+010                  3.0450197176489180E-015                  1.4809089966109876E-006                  2.0562190856744307E-009                  9.5225837027064820E-008                  4.6311405316784601E+001                  2.0562190856744307E-009                  1.1424213393028210E-002                                        8                                        0 
