                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8 
                          version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                burn_min1                                burn_min2 
                                 "12778"                               "gfortran"                                  "9.2.0"                    "x86_64-linux-20.3.2"                                 "CRMATH"                               "20200720"                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                      38                  4.1893546659205630E+006                  1.9999973273042753E+000                  8.8665028814108542E+000                  2.8983801752447782E+000                  0.0000000000000000E+000                                        0                                        0 
                                      39                  4.2848773136966582E+006                  1.9999972291126082E+000                  9.4630229943152369E+000                  2.9509920450798535E+000                  0.0000000000000000E+000                                        0                                        0 
                                      40                  4.3767115507945251E+006                  1.9999971265325012E+000                  1.0060333576796912E+001                  2.9985244335652275E+000                  0.0000000000000000E+000                                        0                                        0 
                                      41                  4.4651785869529657E+006                  1.9999970197839312E+000                  1.0657137613998126E+001                  3.0409264430283214E+000                  0.0000000000000000E+000                                        0                                        0 
                                      42                  4.5505954807310933E+006                  1.9999969090576022E+000                  1.1256109748833655E+001                  3.0785534611354524E+000                  0.0000000000000000E+000                                        0                                        0 
                                      43                  4.6332489867603779E+006                  1.9999967944912826E+000                  1.1860312409002670E+001                  3.1113896830994836E+000                  0.0000000000000000E+000                                        0                                        0 
                                      44                  4.7133876028279746E+006                  1.9999966761999124E+000                  1.2471985799099121E+001                  3.1389933745891834E+000                  0.0000000000000000E+000                                        0                                        0 
                                      45                  4.7912241260744780E+006                  1.9999965543093310E+000                  1.3092527343031506E+001                  3.1609068521240400E+000                  0.0000000000000000E+000                                        0                                        0 
                                      46                  4.8669449903356796E+006                  1.9999964289630399E+000                  1.3722932615180236E+001                  3.1761505444287548E+000                  0.0000000000000000E+000                                        0                                        0 
                                      47                  4.9407171998256724E+006                  1.9999963003450947E+000                  1.4363692042914529E+001                  3.1824918302538650E+000                  0.0000000000000000E+000                                        0                                        0 
                                      48                  5.0126916530816667E+006                  1.9999961687400456E+000                  1.5014862528947434E+001                  3.1802754277152694E+000                  0.0000000000000000E+000                                        0                                        0 
                                      49                  5.0830018920717146E+006                  1.9999960344432992E+000                  1.5676093166660390E+001                  3.1645835805067968E+000                  0.0000000000000000E+000                                        0                                        0 
                                      50                  5.1517586058965474E+006                  1.9999958980068619E+000                  1.6346196591066100E+001                  3.1303911221023908E+000                  0.0000000000000000E+000                                        0                                        0 
